Year,State,Deaths,Population,Crude,Adjusted
2011,Texas,1279,25674681,5,4.9
2011,Utah,60,2817222,2.1,2.2
2011,Vermont,10,626431,NA,NA
2011,Virginia,336,8096604,4.1,4.2
2011,Washington,186,6830038,2.7,2.7
2011,West Virginia,103,1855364,5.6,5.8
2011,Wisconsin,149,5711767,2.6,2.7
2011,Wyoming,23,568158,4,4.2
2012,Alabama,406,4822023,8.4,8.7
2012,Alaska,38,731449,5.2,5
2012,Arizona,401,6553255,6.1,6.3
2012,Arkansas,241,2949131,8.2,8.6
2012,California,2030,38041430,5.3,5.3
2012,Colorado,206,5187582,4,4
2012,Connecticut,152,3590347,4.2,4.4
2012,Delaware,62,917092,6.8,6.9
2012,District of Columbia,82,632323,13,11.2
2012,Florida,1209,19317568,6.3,6.5
2012,Georgia,669,9919945,6.7,6.6
2012,Hawaii,22,1392313,1.6,1.5
2012,Idaho,35,1595728,2.2,2.3
2012,Illinois,845,12875255,6.6,6.6
2012,Indiana,347,6537334,5.3,5.5
2012,Iowa,66,3074186,2.1,2.2
2012,Kansas,105,2885905,3.6,3.9
2012,Kentucky,236,4380415,5.4,5.6
2012,Louisiana,555,4601893,12.1,12.2
2012,Maine,30,1329192,2.3,2.4
2012,Maryland,411,5884563,7,7.1
2012,Massachusetts,135,6646144,2,2
2012,Michigan,740,9883360,7.5,7.8
2012,Minnesota,106,5379139,2,2
2012,Mississippi,294,2984926,9.8,10.2
2012,Missouri,429,6021988,7.1,7.4
2012,Montana,24,1005141,2.4,2.4
2012,Nebraska,65,1855525,3.5,3.6
2012,Nevada,128,2758931,4.6,4.7
2012,New Hampshire,16,1320718,NA,NA
2012,New Jersey,408,8864590,4.6,4.8
2012,New Mexico,139,2085538,6.7,6.9
2012,New York,741,19570261,3.8,3.8
2012,North Carolina,569,9752073,5.8,5.9
2012,North Dakota,16,699628,NA,NA
2012,Ohio,647,11544225,5.6,5.9
2012,Oklahoma,271,3814820,7.1,7.3
2012,Oregon,110,3899353,2.8,2.8
2012,Pennsylvania,705,12763536,5.5,5.9
2012,Rhode Island,30,1050292,2.9,3
2012,South Carolina,379,4723723,8,8.3
2012,South Dakota,20,833354,2.4,2.4
2012,Tennessee,480,6456243,7.4,7.6
2012,Texas,1340,26059203,5.1,5.1
2012,Utah,47,2855287,1.6,1.7
2012,Virginia,336,8185867,4.1,4.1
2012,Washington,230,6897012,3.3,3.3
2012,West Virginia,106,1855413,5.7,6.1
2012,Wisconsin,188,5726398,3.3,3.5
2012,Wyoming,21,576412,3.6,3.7
2013,Alabama,419,4833722,8.7,9
2013,Alaska,43,735132,5.8,5.6
2013,Arizona,396,6626624,6,6.1
2013,Arkansas,215,2959373,7.3,7.6
2013,California,1911,38332521,5,4.9
2013,Colorado,185,5268367,3.5,3.5
2013,Connecticut,100,3596080,2.8,2.9
2013,Delaware,52,925749,5.6,5.8
2013,District of Columbia,90,646449,13.9,12.1
2013,Florida,1172,19552860,6,6.3
2013,Georgia,645,9992167,6.5,6.5
2013,Hawaii,34,1404054,2.4,2.5
2013,Idaho,34,1612136,2.1,2.2
2013,Illinois,801,12882135,6.2,6.3
2013,Indiana,400,6570902,6.1,6.2
2013,Iowa,61,3090416,2,2.2
2013,Kansas,118,2893957,4.1,4.2
2013,Kentucky,205,4395295,4.7,4.8
2013,Louisiana,557,4625470,12,12.2
2013,Maine,30,1328302,2.3,2.2
2013,Maryland,428,5928814,7.2,7.3
2013,Massachusetts,143,6692824,2.1,2.1
2013,Michigan,639,9895622,6.5,6.8
2013,Minnesota,133,5420380,2.5,2.5
2013,Mississippi,292,2991207,9.8,10
2013,Missouri,393,6044171,6.5,6.8
2013,Montana,34,1015165,3.3,3.8
2013,Nebraska,77,1868516,4.1,4.2
2013,Nevada,155,2790136,5.6,5.5
2013,New Hampshire,24,1323459,1.8,1.8
2013,New Jersey,422,8899339,4.7,4.9
2013,New Mexico,137,2085287,6.6,6.7
2013,New York,695,19651127,3.5,3.5
2013,North Carolina,565,9848060,5.7,5.8
2013,North Dakota,16,723393,NA,NA
2013,Ohio,655,11570808,5.7,6
2013,Oklahoma,259,3850568,6.7,7
2013,Oregon,92,3930065,2.3,2.3
2013,Pennsylvania,640,12773801,5,5.3
2013,Rhode Island,31,1051511,2.9,2.8
2013,South Carolina,322,4774839,6.7,6.9
2013,South Dakota,20,844877,2.4,2.5
2013,Tennessee,411,6495978,6.3,6.4
2013,Texas,1363,26448193,5.2,5.2
2013,Utah,53,2900872,1.8,1.9
2013,Vermont,12,626630,NA,NA
2013,Virginia,336,8260405,4.1,4.1
2013,Washington,207,6971406,3,2.9
2013,West Virginia,77,1854304,4.2,4.3
2013,Wisconsin,178,5742713,3.1,3.2
2013,Wyoming,18,582658,NA,NA
